DOI	SemanticScholar Citation Count	Note
10.18653/v1/2020.emnlp-main.184	8	
10.18653/v1/2020.emnlp-main.185	33	
10.18653/v1/2020.emnlp-main.186	5	
10.18653/v1/2020.emnlp-main.187	11	
10.18653/v1/2020.emnlp-main.188	3	
10.18653/v1/2020.emnlp-main.189	1	
10.18653/v1/2020.emnlp-main.190	15	
10.18653/v1/2020.emnlp-main.191	13	
10.18653/v1/2020.emnlp-main.192	1	
10.18653/v1/2020.emnlp-main.193	3	
10.18653/v1/2020.emnlp-main.194	12	
10.18653/v1/2020.emnlp-main.195	16	
10.18653/v1/2020.emnlp-main.196	16	
10.18653/v1/2020.emnlp-main.197	8	
10.18653/v1/2020.emnlp-main.198	0	
10.18653/v1/2020.emnlp-main.199	8	
10.18653/v1/2020.emnlp-main.200	2	
10.18653/v1/2020.emnlp-main.201	2	
10.18653/v1/2020.emnlp-main.202	7	
10.18653/v1/2020.emnlp-main.203	3	
10.18653/v1/2020.emnlp-main.204	10	
10.18653/v1/2020.emnlp-main.205	0	
10.18653/v1/2020.emnlp-main.206	4	
10.18653/v1/2020.emnlp-main.207	6	
10.18653/v1/2020.emnlp-main.208	13	
10.18653/v1/2020.emnlp-main.209	7	
10.18653/v1/2020.emnlp-main.210	30	
10.18653/v1/2020.emnlp-main.211	10	
10.18653/v1/2020.emnlp-main.212	1	
10.18653/v1/2020.emnlp-main.213	39	
10.18653/v1/2020.emnlp-main.214	12	
10.18653/v1/2020.emnlp-main.215	14	
10.18653/v1/2020.emnlp-main.216	2	
10.18653/v1/2020.emnlp-main.217	1	
10.18653/v1/2020.emnlp-main.218	0	
10.18653/v1/2020.emnlp-main.219	9	
10.18653/v1/2020.emnlp-main.220	2	
10.18653/v1/2020.emnlp-main.221	7	
10.18653/v1/2020.emnlp-main.222	0	
10.18653/v1/2020.emnlp-main.223	0	
10.18653/v1/2020.emnlp-main.224	9	
10.18653/v1/2020.emnlp-main.225	2	
10.18653/v1/2020.emnlp-main.226	20	
10.18653/v1/2020.emnlp-main.227	8	
10.18653/v1/2020.emnlp-main.228	3	
10.18653/v1/2020.emnlp-main.229	2	
10.18653/v1/2020.emnlp-main.230	1	
10.18653/v1/2020.emnlp-main.231	4	
10.18653/v1/2020.emnlp-main.232	5	
10.18653/v1/2020.emnlp-main.233	8	
10.18653/v1/2020.emnlp-main.234	0	
10.18653/v1/2020.emnlp-main.235	3	
10.18653/v1/2020.emnlp-main.236	6	
10.18653/v1/2020.emnlp-main.237	0	
10.18653/v1/2020.emnlp-main.238	1	
10.18653/v1/2020.emnlp-main.239	1	
