DOI	
10.18653/v1/2020.findings-emnlp.137	1
10.18653/v1/2020.findings-emnlp.144	1
10.18653/v1/2020.findings-emnlp.175	1
10.18653/v1/2020.findings-emnlp.182	1
10.18653/v1/2020.findings-emnlp.183	1
10.18653/v1/2020.findings-emnlp.208	1
10.18653/v1/2020.findings-emnlp.221	1
10.18653/v1/2020.findings-emnlp.226	1
10.18653/v1/2020.findings-emnlp.231	1
10.18653/v1/2020.findings-emnlp.233	1
10.18653/v1/2020.findings-emnlp.243	1
10.18653/v1/2020.findings-emnlp.251	1
10.18653/v1/2020.findings-emnlp.258	1
10.18653/v1/2020.findings-emnlp.265	1
10.18653/v1/2020.findings-emnlp.273	1
10.18653/v1/2020.findings-emnlp.275	1
10.18653/v1/2020.findings-emnlp.306	1
10.18653/v1/2020.findings-emnlp.313	1
10.18653/v1/2020.findings-emnlp.319	1
10.18653/v1/2020.findings-emnlp.325	1
10.18653/v1/2020.findings-emnlp.328	1
10.18653/v1/2020.findings-emnlp.330	1
10.18653/v1/2020.findings-emnlp.331	1
10.18653/v1/2020.findings-emnlp.336	1
10.18653/v1/2020.findings-emnlp.338	1
10.18653/v1/2020.findings-emnlp.351	1
10.18653/v1/2020.findings-emnlp.353	1
10.18653/v1/2020.findings-emnlp.355	1
10.18653/v1/2020.findings-emnlp.359	1
10.18653/v1/2020.findings-emnlp.361	1
10.18653/v1/2020.findings-emnlp.368	1
10.18653/v1/2020.findings-emnlp.377	1
10.18653/v1/2020.findings-emnlp.385	1
10.18653/v1/2020.findings-emnlp.403	1
10.18653/v1/2020.findings-emnlp.404	1
10.18653/v1/2020.findings-emnlp.408	1
10.18653/v1/2020.findings-emnlp.413	1
10.18653/v1/2020.findings-emnlp.422	1
10.18653/v1/2020.findings-emnlp.426	1
10.18653/v1/2020.findings-emnlp.431	1
10.18653/v1/2020.findings-emnlp.434	1
10.18653/v1/2020.findings-emnlp.436	1
10.18653/v1/2020.findings-emnlp.444	1
10.18653/v1/2020.findings-emnlp.5	0
10.18653/v1/2020.findings-emnlp.10	0
10.18653/v1/2020.findings-emnlp.12	0
10.18653/v1/2020.findings-emnlp.14	0
10.18653/v1/2020.findings-emnlp.15	0
10.18653/v1/2020.findings-emnlp.21	0
10.18653/v1/2020.findings-emnlp.35	0
10.18653/v1/2020.findings-emnlp.37	0
10.18653/v1/2020.findings-emnlp.53	0
10.18653/v1/2020.findings-emnlp.59	0
10.18653/v1/2020.findings-emnlp.60	0
10.18653/v1/2020.findings-emnlp.61	0
10.18653/v1/2020.findings-emnlp.69	0
10.18653/v1/2020.findings-emnlp.79	0
10.18653/v1/2020.findings-emnlp.132	0
10.18653/v1/2020.findings-emnlp.135	0
10.18653/v1/2020.findings-emnlp.142	0
10.18653/v1/2020.findings-emnlp.143	0
10.18653/v1/2020.findings-emnlp.146	0
10.18653/v1/2020.findings-emnlp.149	0
10.18653/v1/2020.findings-emnlp.155	0
10.18653/v1/2020.findings-emnlp.159	0
10.18653/v1/2020.findings-emnlp.160	0
10.18653/v1/2020.findings-emnlp.162	0
10.18653/v1/2020.findings-emnlp.164	0
10.18653/v1/2020.findings-emnlp.169	0
10.18653/v1/2020.findings-emnlp.177	0
10.18653/v1/2020.findings-emnlp.185	0
10.18653/v1/2020.findings-emnlp.188	0
10.18653/v1/2020.findings-emnlp.189	0
10.18653/v1/2020.findings-emnlp.191	0
10.18653/v1/2020.findings-emnlp.198	0
10.18653/v1/2020.findings-emnlp.200	0
10.18653/v1/2020.findings-emnlp.201	0
10.18653/v1/2020.findings-emnlp.205	0
10.18653/v1/2020.findings-emnlp.220	0
10.18653/v1/2020.findings-emnlp.237	0
10.18653/v1/2020.findings-emnlp.246	0
10.18653/v1/2020.findings-emnlp.257	0
10.18653/v1/2020.findings-emnlp.259	0
10.18653/v1/2020.findings-emnlp.270	0
10.18653/v1/2020.findings-emnlp.279	0
10.18653/v1/2020.findings-emnlp.284	0
10.18653/v1/2020.findings-emnlp.285	0
10.18653/v1/2020.findings-emnlp.297	0
10.18653/v1/2020.findings-emnlp.302	0
10.18653/v1/2020.findings-emnlp.312	0
10.18653/v1/2020.findings-emnlp.315	0
